JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2455409.941,0.4,,,Vis.,CKB,,3,11,SA (1968),,,,Z,,,,alf Ori,AAVSO,STD,,,,
2455411,0.4,,,Vis.,HTN,,1,,training chart,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455416.9,0.8,,,Vis.,LZT,BU,NA,,NA,,,,Z,,,,ALF ORI,,STD,,,,
2455416.938,0.5,,,Vis.,CKB,,3,11,SA (1968),,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455425.9,0.8,,,Vis.,MOW,,NA,,NA,,,,Z,,,,ALF ORI,,STD,,,,
2455430.943,0.6,,,Vis.,CKB,,3,11,SA (1968),,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455436.9,0.7,,,Vis.,MOW,,NA,,NA,,,,Z,,,,ALF ORI,,STD,,,,
2455438.66,0.6,,,Vis.,MTON,,,,SPA-TM,HM; NE,,,Z,,,,ALPHA ORI,BAA-VSS,STD,,,,BAAVSS
2455438.66,0.6,,,Vis.,MTON,KBU,E,,SPAVSS,E+2,,,Z,,,,ALF ORI,BAA-VSS,STD,,,,
2455439.616,0.7,,,Vis.,STF,,,,110.01,not rec.,,,Z,,,,ALPHA ORI,AAVSO,STD,,,,BAAVSS
2455439.9,0.6,,,Vis.,LZT,B,NA,,NA,,,,Z,,,,ALF ORI,,STD,,,,
2455441.571,0.6,,,Vis.,ILE,,0,,999999,,,,Z,,,,ALF ORI,MCSE,STD,,,,
2455441.6,0.3,,,Vis.,SPAO,,3,17,680301,,,,Z,,,,ALF ORI,UAI,STD,,,,
2455444.6,0.8,,,Vis.,KTZ,,0,12,HIP,,,,Z,,,,ALF ORI,,STD,,,,
2455444.891,0.5,,,Vis.,CKB,,3,11,SA (1968),,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455445.7,0.3,,,Vis.,SUS,,2,3,680101,,,,Z,,,,ALF ORI,BAV,STD,,,,
2455445.836,0.6,,,Vis.,FMZ,,1,9,10star,,,,Z,,,,ALF ORI,,STD,,,,
2455445.837,0.9,,,Vis.,KSP,,NA,,NA,,,,Z,,,,ALF ORI,,STD,,,,
2455447.53,0.9,,,Vis.,KTZ,,0,12,HIP,,,,Z,,,,ALF ORI,,STD,,,,
2455448.9,0.7,,,Vis.,MOW,,NA,,NA,,,,Z,,,,ALF ORI,,STD,,,,
2455448.937,0.3,,,Vis.,BGZ,,5,,SA1968,,,,Z,,,,ALF ORI,,STD,,,,
2455449.6,0.3,,,Vis.,SPAO,,3,17,680301,,,,Z,,,,ALF ORI,UAI,STD,,,,
2455451.899,0.8,,,Vis.,CKB,,5,11,SA (1968),,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455452.958,0,,,Vis.,HTN,,1,,training chart,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
